age,saving,net_worth,tenure,duration,freq,goal,inv_type,risk_score,roi,true_segment
45,55518.834591650535,907024.615643094,12,88,9,emergency,mutual,22.4,11.02,3
48,20945.082655537757,1027746.5480907941,10,32,4,retirement,fd,18.6,7.83,0
33,48819.98699656971,149633.20733893669,0,28,19,education,crypto,36.0,16.7,2
18,27114.146173165092,429868.3822119761,6,26,10,retirement,gold,18.2,8.91,1
29,23276.651127417415,50000.0,3,25,15,education,crypto,27.1,15.86,2
33,44614.181167858194,449771.35738156724,3,19,13,wealth,crypto,29.2,15.76,2
48,25676.0411655429,592781.3868151725,7,41,7,retirement,etf,21.9,10.8,1
47,60731.916595068615,712450.5721065301,13,84,5,wealth,stocks,19.3,11.46,3
60,12959.623134892243,464099.03161215683,7,48,3,retirement,ppf,18.4,8.22,0
26,45761.56798439882,50000.0,3,23,24,wealth,stocks,40.0,14.4,2
43,12561.968879637532,792333.7787025664,10,50,1,retirement,ppf,10.7,7.64,0
24,32666.102181622686,169897.21724370052,1,5,8,wealth,etf,20.4,10.82,2
18,40222.53833947523,204659.5139598397,2,22,13,education,crypto,23.8,15.49,2
27,35359.88467853564,521905.20904172026,3,34,3,wealth,mutual,12.7,9.93,1
67,14834.365135631015,1241351.0982480827,11,82,3,retirement,fd,17.4,7.67,0
53,7148.876400547718,842515.0740919714,4,38,3,retirement,fd,16.6,7.63,0
29,19566.154774456358,461566.474502777,5,38,12,education,mutual,21.7,11.28,1
50,15278.624561443474,780758.4960221022,8,74,3,wealth,ppf,13.1,7.96,0
38,28175.306452002078,1713776.3568375786,5,105,8,retirement,stocks,14.0,11.5,3
46,47751.81339708349,747799.7488345653,9,89,3,retirement,real_estate,14.5,9.02,3
35,17829.338731263506,381608.6434791468,3,28,9,wealth,etf,20.7,10.94,1
30,68387.73435723527,1593008.6454071044,10,71,8,retirement,nps,20.0,8.8,3
33,33435.01480771907,1562795.0877411608,9,72,7,wealth,real_estate,15.3,9.46,3
31,24351.632282226048,293381.9195968334,5,36,8,wealth,etf,18.3,10.72,1
37,52445.72469793268,1855097.4280271502,3,68,6,wealth,real_estate,18.1,9.51,3
48,16886.50246522426,903946.5427693978,5,76,3,retirement,ppf,12.5,7.92,0
18,25812.666115637745,470812.52696296707,1,26,6,wealth,etf,13.2,10.26,2
36,29248.20875915368,740918.4186594754,4,24,11,education,etf,25.3,11.36,1
39,23149.592456562405,271783.74669232895,0,46,9,wealth,etf,20.8,10.94,1
47,10478.416874477956,493162.2304404783,4,50,1,wealth,fd,11.6,7.18,0
34,21660.556944084543,734672.7892305048,5,70,4,wealth,etf,10.7,9.94,1
30,29702.84710510188,421411.4905984594,6,30,8,wealth,mutual,19.3,10.76,1
31,34508.77458469606,338962.23090384965,4,57,5,retirement,mutual,13.9,10.2,1
31,14887.95065642109,560630.9485228044,5,55,8,wealth,mutual,15.3,10.56,1
30,22644.35393929573,454623.6868587288,4,60,4,retirement,etf,10.6,9.93,1
49,13793.819710718351,892649.9037796891,2,41,6,retirement,ppf,19.5,8.57,0
41,37127.10809513348,1402620.0127745727,8,64,5,emergency,mutual,16.5,10.32,3
23,14592.473004183466,477180.04935531545,1,8,14,vacation,stocks,24.7,12.64,2
31,17484.29406411214,617542.0852315732,7,68,13,education,mutual,20.3,11.32,1
37,10253.005555840286,1168300.6977419876,9,34,3,wealth,ppf,12.6,7.93,0
54,22965.933133196984,1290029.4596903287,13,60,4,retirement,fd,17.9,7.8,0
46,50374.49722399152,1327972.1885391732,12,100,3,wealth,stocks,13.7,10.98,3
57,8241.576971918332,1050058.6884826773,10,90,7,retirement,bonds,17.5,9.07,0
24,29353.762818722775,88925.25323175156,10,19,6,wealth,etf,16.2,10.41,1
22,58436.71634647876,111377.24778628562,3,24,6,wealth,stocks,18.7,11.54,2
45,28277.08894947195,238980.96379389823,7,24,11,wealth,gold,27.8,9.49,1
32,14139.85968126452,390206.99382830993,1,33,12,education,etf,22.5,11.32,1
37,34619.609983864575,50000.0,6,20,5,wealth,gold,19.4,8.47,1
52,15092.091895947759,785923.8263362448,10,79,4,retirement,fd,14.4,7.62,0
47,45047.96985922933,632201.3672372379,9,120,1,wealth,stocks,8.9,10.54,3
28,68220.48326751133,181000.39589785048,2,21,12,wealth,etf,29.2,11.66,2
44,11223.085338233388,569008.0306824074,9,33,1,retirement,ppf,12.5,7.72,0
29,50091.35735091981,50000.0,2,26,16,education,etf,31.6,12.18,2
57,12275.40456595525,584477.8203292408,1,77,4,retirement,ppf,15.7,8.18,0
24,9405.025957420614,546610.8562931997,2,26,7,education,mutual,14.2,10.41,1
47,50731.757558887766,2283479.6336234827,12,63,7,wealth,mutual,22.5,10.82,3
27,30307.703997613084,261853.39536289222,1,22,16,education,stocks,28.9,13.04,2
