age,saving,net_worth,tenure,duration,freq,goal,inv_type,risk_score,roi,true_segment,kmeans_cluster,gmm_cluster,dbscan_cluster
42,20644.49576449469,2202215.5507612834,8,52,10,wealth,mutual,39.9,16.99,1,2,2,0
45,25737.45766544917,1051645.8506774248,7,46,12,wealth,mutual,47.0,18.1,1,2,2,0
38,24407.934533996005,1729464.113694582,7,45,12,education,mutual,43.4,17.74,1,2,2,1
61,16219.837112010722,5983859.694475265,11,87,1,retirement,gold,27.0,11.9,0,3,3,2
68,12748.876186341637,5661502.430770734,15,69,1,retirement,fd,31.6,11.36,0,3,3,2
74,8907.511103495035,5697627.667730894,12,74,3,retirement,fd,37.4,12.34,0,3,3,2
60,9583.76628545492,6071793.96825258,14,87,1,retirement,fd,25.2,10.72,0,3,3,2
40,24772.303644761017,2013134.3236405228,9,50,13,education,mutual,46.0,18.2,1,2,2,1
36,26507.72432311431,1711888.5693648274,7,50,12,wealth,mutual,42.3,17.63,1,2,2,0
44,25657.926739396164,2637904.795617545,8,42,6,education,etf,34.9,15.69,1,2,2,3
43,29675.049880425933,2184491.30459952,8,50,7,education,mutual,36.4,16.04,1,2,2,1
61,8225.0156443958,5628757.883730808,16,83,1,retirement,gold,25.8,11.78,0,3,3,2
66,7969.811616344263,5926487.288284575,14,75,1,retirement,ppf,29.1,11.61,0,3,3,4
59,8355.1601352356,5396489.176071392,15,78,2,retirement,ppf,27.4,11.64,0,3,3,4
22,37697.6192042278,1164858.0023288932,2,10,18,wealth,crypto,53.5,26.95,2,0,0,5
21,38033.55485204457,1413706.9722913872,1,10,20,wealth,crypto,57.1,27.71,2,0,0,5
58,13348.984866695077,6097025.971802937,14,82,2,retirement,fd,27.5,11.15,0,3,3,2
24,32573.671923523743,1326851.3378689168,2,12,17,vacation,crypto,51.3,26.53,2,0,0,6
39,20843.91844466652,1525659.068304452,7,52,11,education,mutual,40.5,17.25,1,2,2,1
66,11780.766327039571,6035626.874955446,11,79,2,retirement,ppf,31.5,12.05,0,3,3,4
62,6784.677945763882,6126284.422998312,16,83,2,retirement,fd,28.1,11.21,0,3,3,2
22,32188.891336031986,1042825.4762039282,1,12,17,wealth,crypto,50.2,26.42,2,0,0,5
64,6585.284084814106,5857922.451035601,14,75,1,retirement,fd,27.8,10.98,0,3,3,2
63,9127.228218946862,5950452.849879365,15,65,1,retirement,fd,28.8,11.08,0,3,3,2
48,37477.91430864284,3276808.544543798,14,94,5,retirement,real_estate,32.1,15.21,3,1,1,7
74,11355.750639061816,5569807.494610249,15,82,1,retirement,ppf,33.1,12.01,0,3,3,4
47,41597.86610636118,3609507.882604893,12,98,6,retirement,real_estate,34.0,15.6,3,1,1,7
61,10123.359699695944,5863003.459085348,11,85,1,retirement,fd,26.0,10.8,0,3,3,2
52,38128.95506320592,4060140.445163356,11,101,6,retirement,real_estate,35.5,15.75,3,1,1,7
61,7892.635161707292,5938645.533202138,17,80,2,retirement,fd,28.1,11.21,0,3,3,2
41,29644.02466245608,2074158.6625871048,7,42,8,education,etf,38.2,16.42,1,2,2,3
74,10904.743592499468,6107698.252728144,15,80,1,retirement,gold,33.2,12.52,0,3,3,2
48,44673.815446705645,4014191.208700393,12,93,7,retirement,real_estate,37.6,16.16,3,1,1,7
54,39472.05145451699,3107965.499148004,11,103,4,retirement,real_estate,32.6,15.06,3,1,1,7
43,26828.52968863732,1602091.3128273217,4,53,11,education,etf,43.6,17.56,1,2,2,3
32,23699.948334746423,1112004.3649774494,10,49,12,education,mutual,39.8,17.38,1,2,2,1
18,35862.12791917633,1186585.6727436793,1,8,19,wealth,crypto,53.4,27.14,2,0,0,5
48,43853.24772583164,3903026.5190613056,10,101,5,retirement,mutual,32.7,15.27,3,1,1,8
49,37355.40613079601,3627711.3602976105,11,100,7,retirement,real_estate,36.0,16.0,3,1,1,7
42,20526.76022916558,1399093.8990638875,7,53,8,education,etf,35.8,16.18,1,2,2,3
26,32128.31219620568,1078044.5730335326,1,5,21,wealth,crypto,60.9,28.29,2,0,0,5
55,43645.93795132342,3427707.260818591,13,95,4,retirement,mutual,34.7,15.27,3,1,1,8
63,9381.767071594995,5434555.7823370425,14,80,2,retirement,ppf,29.4,11.84,0,3,3,4
71,7376.327535299681,5795949.58041989,11,78,2,retirement,ppf,33.2,12.22,0,3,3,4
69,9093.503181953973,6251392.213447597,14,73,2,retirement,fd,33.0,11.7,0,3,3,2
23,29716.826385522003,1130907.2780233356,2,9,17,wealth,crypto,50.5,26.45,2,0,0,5
31,35465.8079108294,1211787.2221922365,1,8,17,wealth,crypto,55.8,26.98,2,0,0,5
56,39002.33352244183,2818707.1184436586,11,93,6,retirement,real_estate,38.5,16.05,3,1,1,7
28,39690.41583497202,646893.8835931917,0,10,19,wealth,crypto,58.9,27.69,2,0,0,5
37,25446.28220000709,2018672.6936647843,6,53,13,wealth,etf,44.3,18.03,1,2,2,9
46,41500.70137346203,3428313.094356351,9,106,5,retirement,etf,30.7,15.07,3,1,1,10
51,41935.425930010606,3425417.1132267653,11,93,6,retirement,mutual,36.6,15.86,3,1,1,8
41,24211.47850161282,2701350.079489726,7,55,11,wealth,mutual,41.8,17.38,1,2,2,0
23,31632.506596331645,818834.1849840838,2,14,22,wealth,crypto,60.4,28.44,2,0,0,5
64,9833.12406041928,5594499.568185577,12,82,2,retirement,fd,29.8,11.38,0,3,3,2
30,36688.989995033415,1499703.7241541687,3,10,19,wealth,stocks,59.3,22.73,2,0,0,11
64,7268.088577598932,6000341.409478742,15,81,2,retirement,ppf,29.4,11.84,0,3,3,4
63,13056.936852825063,6276149.968839762,16,76,2,retirement,fd,30.5,11.45,0,3,3,2
40,22705.45231507569,2078949.042175864,6,43,9,education,mutual,38.2,16.62,1,2,2,1
